Kontext,Frage,Antwort
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).",Kann der Unterricht an betrieblichen Ruhetagen oder -halbtagen den Lernenden als Ruhezeit angerechnet werden? , Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. 
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).",Gilt dies auch für überbetriebliche Kurse (üK)? , Dies gilt auch für die überbetrieblichen Kurse (üK). 
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).","Was ist die Regel, wenn der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag beansprucht? "," Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. "
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).",Wer ist für die Organisation der schulischen Bildung verantwortlich? , Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. 
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).",Was verlangt das Gesetz in Bezug auf die Ansetzung des Unterrichts? , Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. 
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).",Was müssen Schulen den Lernenden gemäß BBG Art. 10 gewähren? ," Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). "
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).","Wann ist die Schule verpflichtet, den Berufsbildner/innen zu berichten? "," Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. "
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).",Darf die Schule von sich aus einen schwachen Schüler oder eine schwache Schülerin ausschließen oder repetieren lassen? ," Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. "
"Unterricht an der Berufsfachschule und üK an einem Geschäftsschliessungstag Der Besuch des Unterrichts ist der Arbeitszeit gleichzusetzen, soweit er in die Arbeitszeit fällt (Art. 31 ArG). Der Unterricht an betrieblichen Ruhetagen oder -halbtagen kann den Lernenden nicht als Ruhezeit angerechnet werden. Dies gilt auch für die überbetrieblichen Kurse (üK). Daraus lässt sich folgende einfache Formel ableiten: Beansprucht der Unterricht an der Berufsfachschule oder an den üK den freien Halbtag bzw. Tag, so ist er dem Lernenden an einem andern Wochentag derselben Woche einzuräumen. Die Organisation der schulischen Bildung liegt letztlich in der Verantwortung der Kantone. Das Gesetz verlangt die Ansetzung des Unterrichts möglichst auf ganze Tage. Von Bundesrechts wegen sind die Schulen, wie die anderen Ausbildungspartner auch, verpflichtet, den Lernenden ein «angemessenes Mitspracherecht» einzuräumen (BBG Art. 10). Den Berufsbildner/innen gegenüber ist die Schule verpflichtet zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen. Die Schule ist aber nicht berechtigt, von sich aus einen schwachen Schüler oder eine schwache Schülerin auszuschliessen oder repetieren zu lassen. Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3).","Wer ist für solche Maßnahmen zuständig, die wesentlich in das Lehrverhältnis eingreifen? "," Solche Massnahmen, die in das Lehrverhältnis wesentlich eingreifen, sind der Aufsichtsbehörde des Kantons vorbehalten (BBV Art. 17 Abs. 3)."
"Interkantonaler Fachkurs (BBG Art. 22 Abs. 5) Eine organisatorische Sonderform für den berufskundlichen Unterricht ist der interkantonale Fachkurs. Bei interkantonalen Fachkursen handelt es sich im Grunde genommen darum, dass der Bund unter besonderen Voraussetzungen dem einzelnen Kanton den Organisationsauftrag für den berufskundlichen Unterricht in einem bestimmten Beruf entzieht und selbst Unterrichtsorganisator wird. Voraussetzung für die Bewilligung von interkantonalen Fachkursen ist, «wenn dadurch das Bildungsziel besser erreicht und die Bildungsbereitschaft der Lehrbetriebe positiv beeinflusst wird, keine übermässigen Kosten erwachsen und für die Teilnehmenden keine erheblichen Nachteile entstehen». Die Organisation und Finanzierung der interkantonalen Fachkurse ist mit einer Leistungsvereinbarung zwischen den interessierten Kantonen, vertreten durch die Schweizerische BerufsbildungsämterKonferenz SBBK, und den Anbietern geregelt. Beispiele: Die Kochlehrlinge (Koch/Köchin EFZ) aus Saisonbetrieben besuchen in den Zwischensaisonzeiten anstelle des wöchentlichen Unterrichts an den Berufsfachschulen die Blockkurse, die in verschiedenen Kurshotels durch die Hotel&Gastroformation durchgeführt werden (Leistungsvereinbarung zwischen Hotel&Gastroformation und den einzelnen Kantonen). Die lernenden Gipser der deutschen Schweiz besuchen anstelle der Berufsfachschule pro Lehrjahr zehn einwöchige Kurse, die vom Schweiz. Maler- und Gipsermeisterverband in Wallisellen durchgeführt werden.",Was ist ein interkantonaler Fachkurs? , Eine organisatorische Sonderform für den berufskundlichen Unterricht 
"Interkantonaler Fachkurs (BBG Art. 22 Abs. 5) Eine organisatorische Sonderform für den berufskundlichen Unterricht ist der interkantonale Fachkurs. Bei interkantonalen Fachkursen handelt es sich im Grunde genommen darum, dass der Bund unter besonderen Voraussetzungen dem einzelnen Kanton den Organisationsauftrag für den berufskundlichen Unterricht in einem bestimmten Beruf entzieht und selbst Unterrichtsorganisator wird. Voraussetzung für die Bewilligung von interkantonalen Fachkursen ist, «wenn dadurch das Bildungsziel besser erreicht und die Bildungsbereitschaft der Lehrbetriebe positiv beeinflusst wird, keine übermässigen Kosten erwachsen und für die Teilnehmenden keine erheblichen Nachteile entstehen». Die Organisation und Finanzierung der interkantonalen Fachkurse ist mit einer Leistungsvereinbarung zwischen den interessierten Kantonen, vertreten durch die Schweizerische BerufsbildungsämterKonferenz SBBK, und den Anbietern geregelt. Beispiele: Die Kochlehrlinge (Koch/Köchin EFZ) aus Saisonbetrieben besuchen in den Zwischensaisonzeiten anstelle des wöchentlichen Unterrichts an den Berufsfachschulen die Blockkurse, die in verschiedenen Kurshotels durch die Hotel&Gastroformation durchgeführt werden (Leistungsvereinbarung zwischen Hotel&Gastroformation und den einzelnen Kantonen). Die lernenden Gipser der deutschen Schweiz besuchen anstelle der Berufsfachschule pro Lehrjahr zehn einwöchige Kurse, die vom Schweiz. Maler- und Gipsermeisterverband in Wallisellen durchgeführt werden.",In welchem Gesetz ist der interkantonale Fachkurs geregelt? ,BBG Art. 22 Abs. 5
"Interkantonaler Fachkurs (BBG Art. 22 Abs. 5) Eine organisatorische Sonderform für den berufskundlichen Unterricht ist der interkantonale Fachkurs. Bei interkantonalen Fachkursen handelt es sich im Grunde genommen darum, dass der Bund unter besonderen Voraussetzungen dem einzelnen Kanton den Organisationsauftrag für den berufskundlichen Unterricht in einem bestimmten Beruf entzieht und selbst Unterrichtsorganisator wird. Voraussetzung für die Bewilligung von interkantonalen Fachkursen ist, «wenn dadurch das Bildungsziel besser erreicht und die Bildungsbereitschaft der Lehrbetriebe positiv beeinflusst wird, keine übermässigen Kosten erwachsen und für die Teilnehmenden keine erheblichen Nachteile entstehen». Die Organisation und Finanzierung der interkantonalen Fachkurse ist mit einer Leistungsvereinbarung zwischen den interessierten Kantonen, vertreten durch die Schweizerische BerufsbildungsämterKonferenz SBBK, und den Anbietern geregelt. Beispiele: Die Kochlehrlinge (Koch/Köchin EFZ) aus Saisonbetrieben besuchen in den Zwischensaisonzeiten anstelle des wöchentlichen Unterrichts an den Berufsfachschulen die Blockkurse, die in verschiedenen Kurshotels durch die Hotel&Gastroformation durchgeführt werden (Leistungsvereinbarung zwischen Hotel&Gastroformation und den einzelnen Kantonen). Die lernenden Gipser der deutschen Schweiz besuchen anstelle der Berufsfachschule pro Lehrjahr zehn einwöchige Kurse, die vom Schweiz. Maler- und Gipsermeisterverband in Wallisellen durchgeführt werden.",Welche Voraussetzungen müssen für die Bewilligung von interkantonalen Fachkursen erfüllt sein? ," «wenn dadurch das Bildungsziel besser erreicht und die Bildungsbereitschaft der Lehrbetriebe positiv beeinflusst wird, keine übermässigen Kosten erwachsen und für die Teilnehmenden keine erheblichen Nachteile entstehen»"
"Interkantonaler Fachkurs (BBG Art. 22 Abs. 5) Eine organisatorische Sonderform für den berufskundlichen Unterricht ist der interkantonale Fachkurs. Bei interkantonalen Fachkursen handelt es sich im Grunde genommen darum, dass der Bund unter besonderen Voraussetzungen dem einzelnen Kanton den Organisationsauftrag für den berufskundlichen Unterricht in einem bestimmten Beruf entzieht und selbst Unterrichtsorganisator wird. Voraussetzung für die Bewilligung von interkantonalen Fachkursen ist, «wenn dadurch das Bildungsziel besser erreicht und die Bildungsbereitschaft der Lehrbetriebe positiv beeinflusst wird, keine übermässigen Kosten erwachsen und für die Teilnehmenden keine erheblichen Nachteile entstehen». Die Organisation und Finanzierung der interkantonalen Fachkurse ist mit einer Leistungsvereinbarung zwischen den interessierten Kantonen, vertreten durch die Schweizerische BerufsbildungsämterKonferenz SBBK, und den Anbietern geregelt. Beispiele: Die Kochlehrlinge (Koch/Köchin EFZ) aus Saisonbetrieben besuchen in den Zwischensaisonzeiten anstelle des wöchentlichen Unterrichts an den Berufsfachschulen die Blockkurse, die in verschiedenen Kurshotels durch die Hotel&Gastroformation durchgeführt werden (Leistungsvereinbarung zwischen Hotel&Gastroformation und den einzelnen Kantonen). Die lernenden Gipser der deutschen Schweiz besuchen anstelle der Berufsfachschule pro Lehrjahr zehn einwöchige Kurse, die vom Schweiz. Maler- und Gipsermeisterverband in Wallisellen durchgeführt werden.",Wie ist die Organisation und Finanzierung der interkantonalen Fachkurse geregelt? ," mit einer Leistungsvereinbarung zwischen den interessierten Kantonen, vertreten durch die Schweizerische BerufsbildungsämterKonferenz SBBK, und den Anbietern "
"Interkantonaler Fachkurs (BBG Art. 22 Abs. 5) Eine organisatorische Sonderform für den berufskundlichen Unterricht ist der interkantonale Fachkurs. Bei interkantonalen Fachkursen handelt es sich im Grunde genommen darum, dass der Bund unter besonderen Voraussetzungen dem einzelnen Kanton den Organisationsauftrag für den berufskundlichen Unterricht in einem bestimmten Beruf entzieht und selbst Unterrichtsorganisator wird. Voraussetzung für die Bewilligung von interkantonalen Fachkursen ist, «wenn dadurch das Bildungsziel besser erreicht und die Bildungsbereitschaft der Lehrbetriebe positiv beeinflusst wird, keine übermässigen Kosten erwachsen und für die Teilnehmenden keine erheblichen Nachteile entstehen». Die Organisation und Finanzierung der interkantonalen Fachkurse ist mit einer Leistungsvereinbarung zwischen den interessierten Kantonen, vertreten durch die Schweizerische BerufsbildungsämterKonferenz SBBK, und den Anbietern geregelt. Beispiele: Die Kochlehrlinge (Koch/Köchin EFZ) aus Saisonbetrieben besuchen in den Zwischensaisonzeiten anstelle des wöchentlichen Unterrichts an den Berufsfachschulen die Blockkurse, die in verschiedenen Kurshotels durch die Hotel&Gastroformation durchgeführt werden (Leistungsvereinbarung zwischen Hotel&Gastroformation und den einzelnen Kantonen). Die lernenden Gipser der deutschen Schweiz besuchen anstelle der Berufsfachschule pro Lehrjahr zehn einwöchige Kurse, die vom Schweiz. Maler- und Gipsermeisterverband in Wallisellen durchgeführt werden.",Welches Beispiel gibt es für interkantonale Fachkurse für Kochlehrlinge? ," Die Kochlehrlinge (Koch/Köchin EFZ) aus Saisonbetrieben besuchen in den Zwischensaisonzeiten anstelle des wöchentlichen Unterrichts an den Berufsfachschulen die Blockkurse, die in verschiedenen Kurshotels durch die Hotel&Gastroformation durchgeführt werden "
"Interkantonaler Fachkurs (BBG Art. 22 Abs. 5) Eine organisatorische Sonderform für den berufskundlichen Unterricht ist der interkantonale Fachkurs. Bei interkantonalen Fachkursen handelt es sich im Grunde genommen darum, dass der Bund unter besonderen Voraussetzungen dem einzelnen Kanton den Organisationsauftrag für den berufskundlichen Unterricht in einem bestimmten Beruf entzieht und selbst Unterrichtsorganisator wird. Voraussetzung für die Bewilligung von interkantonalen Fachkursen ist, «wenn dadurch das Bildungsziel besser erreicht und die Bildungsbereitschaft der Lehrbetriebe positiv beeinflusst wird, keine übermässigen Kosten erwachsen und für die Teilnehmenden keine erheblichen Nachteile entstehen». Die Organisation und Finanzierung der interkantonalen Fachkurse ist mit einer Leistungsvereinbarung zwischen den interessierten Kantonen, vertreten durch die Schweizerische BerufsbildungsämterKonferenz SBBK, und den Anbietern geregelt. Beispiele: Die Kochlehrlinge (Koch/Köchin EFZ) aus Saisonbetrieben besuchen in den Zwischensaisonzeiten anstelle des wöchentlichen Unterrichts an den Berufsfachschulen die Blockkurse, die in verschiedenen Kurshotels durch die Hotel&Gastroformation durchgeführt werden (Leistungsvereinbarung zwischen Hotel&Gastroformation und den einzelnen Kantonen). Die lernenden Gipser der deutschen Schweiz besuchen anstelle der Berufsfachschule pro Lehrjahr zehn einwöchige Kurse, die vom Schweiz. Maler- und Gipsermeisterverband in Wallisellen durchgeführt werden.",Welches Beispiel gibt es für interkantonale Fachkurse für lernende Gipser? ," Die lernenden Gipser der deutschen Schweiz besuchen anstelle der Berufsfachschule pro Lehrjahr zehn einwöchige Kurse, die vom Schweiz. Maler- und Gipsermeisterverband in Wallisellen durchgeführt werden."
"Der Lehrabschluss Die Qualifikationsverfahren in der beruflichen Grundbildung Qualifikationsverfahren ist der Oberbegriff für alle Verfahren, die geeignet sind festzustellen, ob eine Person über die Kompetenzen verfügt, die in der jeweiligen Verordnung über die berufliche Grundbildung festgelegt sind. Das bedeutendste Qualifikationsverfahren ist die Abschlussprüfung am Ende der beruflichen Grundbildung, möglich sind auch Teilprüfungen.","Was ist der Oberbegriff für alle Verfahren, die feststellen, ob eine Person über die Kompetenzen verfügt, die in der jeweiligen Verordnung über die berufliche Grundbildung festgelegt sind? ", Qualifikationsverfahren 
"Der Lehrabschluss Die Qualifikationsverfahren in der beruflichen Grundbildung Qualifikationsverfahren ist der Oberbegriff für alle Verfahren, die geeignet sind festzustellen, ob eine Person über die Kompetenzen verfügt, die in der jeweiligen Verordnung über die berufliche Grundbildung festgelegt sind. Das bedeutendste Qualifikationsverfahren ist die Abschlussprüfung am Ende der beruflichen Grundbildung, möglich sind auch Teilprüfungen.",Was ist das bedeutendste Qualifikationsverfahren in der beruflichen Grundbildung? , die Abschlussprüfung am Ende der beruflichen Grundbildung
"Der Lehrabschluss Die Qualifikationsverfahren in der beruflichen Grundbildung Qualifikationsverfahren ist der Oberbegriff für alle Verfahren, die geeignet sind festzustellen, ob eine Person über die Kompetenzen verfügt, die in der jeweiligen Verordnung über die berufliche Grundbildung festgelegt sind. Das bedeutendste Qualifikationsverfahren ist die Abschlussprüfung am Ende der beruflichen Grundbildung, möglich sind auch Teilprüfungen.",Was ist neben der Abschlussprüfung am Ende der beruflichen Grundbildung noch möglich? , Teilprüfungen
"Zweck und Inhalt der Abschlussprüfung Die Abschlussprüfung ist Teil des Qualifikationsverfahrens. Sie findet gegen Ende der beruflichen Grundbildung statt. Mit der Abschlussprüfung wird festgestellt, ob die lernende Person über die Kompetenzen verfügt, die im Bildungsplan definiert sind. In der Berufsbildungsverordnung wird dies als «Nachweis der beruflichen Qualifikationen» umschrieben und beschränkt sich im Weiteren auf die Anforderungen an das Verfahren (BBV Art. 30). In den meisten Berufen besteht die Prüfung aus drei Teilen: • Praktische Arbeiten: Für die praktische Arbeit existieren zwei Formen: die individuelle praktische Arbeit (IPA) und die vorgegebene praktische Arbeit (VPA); die praktische Arbeit wird vielfach doppelt gewichtet und das Ergebnis in einer so genannten Fallnote festgehalten, d.h., ein Prüfungserfolg im Ganzen hängt vom Bestehen der Prüfung in den praktischen Arbeiten ab. • • Berufskenntnisse: Die Berufskenntnisprüfung bildet den theoretischen/schulischen Teil der Abschlussprüfung. Die lernende Person wird schriftlich und mündlich geprüft. Allgemeinbildung: Dieser Qualifikationsbereich setzt sich aus folgenden Teilbereichen zusammen: Erfahrungsnote Allgemeinbildung, Vertiefungsarbeit und Schlussprüfung. Bei der zweijährigen beruflichen Grundbildung mit eidgenössischem Berufsattest EBA entfällt die Schlussprüfung. Etwas anders liegt die Verteilung vor allem in den so genannten kaufmännischen Berufen, wo die Prüfung des Schulstoffs zeitlich überwiegt. Die Prüfungsform, die Prüfungszeiten und die Notenwerte sind bundesrechtlich festgelegt (BBV Art. 34). In den Bildungsverordnungen (vor 2014 in den Bildungsplänen) ist die Abschlussprüfung (Qualifikationsverfahren) verbindlich geregelt. Die Teilnahme an der Abschlussprüfung ist für die lernende Person obligatorisch. Der Berufsbildner oder die Berufsbildnerin hat ihr für diese Zeit ohne Lohnabzug freizugeben.",Wann findet die Abschlussprüfung statt? , Sie findet gegen Ende der beruflichen Grundbildung statt. 
